,datetime,tempmin,temp,tempmax
0,2024-12-30,7.2,11.3,13.9
1,2024-12-31,3.8,6.6,10.7
2,2025-01-01,4.4,7.1,8.4
3,2025-01-02,1.7,3.7,6.2
4,2025-01-03,-0.7,1.5,3.4
5,2025-01-04,-2.8,-1.7,-0.7
6,2025-01-05,-4.4,-1.9,-0.5
7,2025-01-06,-5.5,-4.3,-2.7
