,datetime,description,icon
0,2025-01-03,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-01-04,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-01-05,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-01-06,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-01-07,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-01-08,Clear conditions throughout the day.,clear-day
6,2025-01-09,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-01-10,Partly cloudy throughout the day.,partly-cloudy-day
