,datetime,tempmin,temp,tempmax
0,2024-12-23,-12.3,-7.7,-3.3
1,2024-12-24,-4.4,-1.7,1.2
2,2024-12-25,-4.4,-2.2,0.0
3,2024-12-26,-1.7,-0.3,2.9
4,2024-12-27,-4.6,-0.2,4.4
5,2024-12-28,0.5,4.0,7.1
6,2024-12-29,4.3,7.0,10.0
7,2024-12-30,7.2,11.3,13.9
