,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-12-23,-3.3,-12.3,-7.7,-7.5,-20.0,-13.6,-14.2,59.8,0.0,0,0.0,,0,0,27.7,19.8,263.1,1035.6,43.4,16.0,435.9,37.6,9,10,2024-12-23T07:11:26,2024-12-23T16:16:00,0.77,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-12-24,1.2,-4.4,-1.7,-1.2,-9.3,-5.9,-6.1,71.8,0.0,0,0.0,"rain,snow",2,0,37.1,20.4,268.6,1024.9,72.3,15.1,616.3,53.1,8,10,2024-12-24T07:11:50,2024-12-24T16:16:36,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-12-25,0.0,-4.4,-2.2,-2.6,-9.6,-6.6,-8.6,62.1,0.0,0,0.0,,0,0,31.3,23.5,335.9,1028.2,59.3,16.0,505.1,43.7,9,10,2024-12-25T07:12:11,2024-12-25T16:17:14,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-12-26,2.9,-1.7,-0.3,1.6,-7.0,-2.7,-6.1,65.3,0.0,0,0.0,,0,0,23.8,17.9,311.1,1030.9,56.0,16.0,482.8,41.8,7,10,2024-12-26T07:12:31,2024-12-26T16:17:55,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-12-27,4.4,-4.6,-0.2,1.4,-9.6,-3.5,-6.4,64.0,0.0,0,0.0,,0,0,19.4,17.8,238.9,1029.6,44.5,16.0,378.8,32.7,8,10,2024-12-27T07:12:48,2024-12-27T16:18:37,0.9,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-12-28,7.1,0.5,4.0,7.1,-4.2,1.8,2.4,89.8,2.69,100,25.0,rain,0,0,22.7,17.9,205.9,1024.8,98.4,9.6,328.8,28.5,7,10,2024-12-28T07:13:03,2024-12-28T16:19:22,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-12-29,10.0,4.3,7.0,8.4,2.0,6.0,6.4,96.4,0.319,100,16.67,rain,0,0,24.1,12.8,126.4,1019.5,96.8,4.6,577.1,49.6,7,10,2024-12-29T07:13:15,2024-12-29T16:20:08,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-12-30,13.9,7.2,11.3,13.9,3.7,10.7,8.1,81.4,13.326,100,33.33,rain,0,0,53.1,29.0,190.4,1004.7,63.1,14.2,355.7,30.8,7,10,2024-12-30T07:13:26,2024-12-30T16:20:56,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
