,datetime,description,icon
0,2024-12-23,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2024-12-24,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-12-25,Clearing in the afternoon.,partly-cloudy-day
3,2024-12-26,Clearing in the afternoon.,partly-cloudy-day
4,2024-12-27,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2024-12-28,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
6,2024-12-29,Cloudy skies throughout the day with rain.,rain
7,2024-12-30,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
